survey	age_group	tenure	tier	n_unique	kish_ess	min_unique	min_kish_ess	support_pass
CEX	25-34	OWNER	BASE	619	537.749652	200	100.000000	1
CPS_ASEC	25-34	OWNER	BASE	4100	2882.712548	500	250.000000	1
SCF	25-34	OWNER	BASE	156	118.112296	100	50.000000	1
CEX	25-34	RENTER	BASE	897	761.153806	200	100.000000	1
CPS_ASEC	25-34	RENTER	BASE	4712	3328.471560	500	250.000000	1
SCF	25-34	RENTER	BASE	332	226.741900	100	50.000000	1
CEX	35-44	OWNER	BASE	1041	880.037581	200	100.000000	1
CPS_ASEC	35-44	OWNER	BASE	7368	5430.440901	500	250.000000	1
SCF	35-44	OWNER	BASE	415	271.598888	100	50.000000	1
CEX	35-44	RENTER	BASE	660	568.785087	200	100.000000	1
CPS_ASEC	35-44	RENTER	BASE	3874	2866.171913	500	250.000000	1
SCF	35-44	RENTER	BASE	341	232.737657	100	50.000000	1
CEX	45-54	OWNER	BASE	1155	1001.746639	200	100.000000	1
CPS_ASEC	45-54	OWNER	BASE	7290	5398.785586	500	250.000000	1
SCF	45-54	OWNER	BASE	563	310.478132	100	50.000000	1
CEX	45-54	RENTER	BASE	477	410.558363	200	100.000000	1
CPS_ASEC	45-54	RENTER	BASE	2806	2132.354501	500	250.000000	1
SCF	45-54	RENTER	BASE	242	159.333886	100	50.000000	1
CEX	55-64	OWNER	BASE	1401	1222.502409	200	100.000000	1
CPS_ASEC	55-64	OWNER	BASE	7739	5750.619891	500	250.000000	1
SCF	55-64	OWNER	BASE	825	407.366886	100	50.000000	1
CEX	55-64	RENTER	BASE	430	370.993871	200	100.000000	1
CPS_ASEC	55-64	RENTER	BASE	2540	1894.172575	500	250.000000	1
SCF	55-64	RENTER	BASE	193	121.001874	100	50.000000	1
CEX	25-44	OWNER	FALLBACK	1660	1417.574717	200	100.000000	1
CPS_ASEC	25-44	OWNER	FALLBACK	11468	8234.823777	500	250.000000	1
SCF	25-44	OWNER	FALLBACK	571	373.139893	100	50.000000	1
CEX	25-44	RENTER	FALLBACK	1557	1328.983986	200	100.000000	1
CPS_ASEC	25-44	RENTER	FALLBACK	8586	6143.905152	500	250.000000	1
SCF	25-44	RENTER	FALLBACK	673	451.264110	100	50.000000	1
CEX	45-64	OWNER	FALLBACK	2556	2221.950629	200	100.000000	1
CPS_ASEC	45-64	OWNER	FALLBACK	15029	11114.129822	500	250.000000	1
SCF	45-64	OWNER	FALLBACK	1388	717.215637	100	50.000000	1
