pair_index	cell_a_age_band	cell_a_tenure	cell_b_age_band	cell_b_tenure	pair_family	metric_id	coordinate_id	metric_weight_exact	delta_exact	delta_decimal	weighted_squared_contribution_exact	weighted_squared_contribution_decimal
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	H_ACCESS_SPACE_ROOMS_PER_PERSON	1	-572717136361/1000000000000	-0.572717136361	328004918281544268322321/1000000000000000000000000	0.328004918281544268322321
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	K_FIN_MEAN_TRANSFORMED	1	-193039420853/500000000000	-0.386078841706	37264218003261651247609/250000000000000000000000	0.149056872013046604990436
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	D_PIRTOTAL_MEAN_STATE_TRANSFORMED	1	35580476579/250000000000	0.142321906316	1265970313588767543241/62500000000000000000000	0.020255525017420280691856
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	I_FYFT_SHARE	1	-1170674890169231/10000000000000000	-0.1170674890169231	1370479698472741064647819131361/100000000000000000000000000000000	0.01370479698472741064647819131361
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	I_SEARCH_SECURITY	1	-9318261646067937/200000000000000000	-0.046591308230339685	86830000104580738798893219435969/40000000000000000000000000000000000	0.002170750002614518469972330485899225
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	H_ACCESS_SPACE_ROOMS_PER_PERSON	1	-572717136361/1000000000000	-0.572717136361	328004918281544268322321/1000000000000000000000000	0.328004918281544268322321
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	K_FIN_MEAN_TRANSFORMED	1	-193039420853/500000000000	-0.386078841706	37264218003261651247609/250000000000000000000000	0.149056872013046604990436
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	D_PIRTOTAL_MEAN_STATE_TRANSFORMED	1	35580476579/250000000000	0.142321906316	1265970313588767543241/62500000000000000000000	0.020255525017420280691856
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	I_FYFT_SHARE	1/2	-1170674890169231/10000000000000000	-0.1170674890169231	1370479698472741064647819131361/200000000000000000000000000000000	0.006852398492363705323239095656805
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	I_SEARCH_SECURITY	1/2	-9318261646067937/200000000000000000	-0.046591308230339685	86830000104580738798893219435969/80000000000000000000000000000000000	0.0010853750013072592349861652429496125
