pair_index	cell_a_age_band	cell_a_tenure	cell_b_age_band	cell_b_tenure	pair_family	direction_definition	delta_H_ACCESS_SPACE_ROOMS_PER_PERSON_exact	delta_H_ACCESS_SPACE_ROOMS_PER_PERSON_decimal	delta_K_FIN_MEAN_TRANSFORMED_exact	delta_K_FIN_MEAN_TRANSFORMED_decimal	delta_D_PIRTOTAL_MEAN_STATE_TRANSFORMED_exact	delta_D_PIRTOTAL_MEAN_STATE_TRANSFORMED_decimal	delta_I_FYFT_SHARE_exact	delta_I_FYFT_SHARE_decimal	delta_I_SEARCH_SECURITY_exact	delta_I_SEARCH_SECURITY_decimal
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	CELL_B_MINUS_CELL_A	-572717136361/1000000000000	-0.572717136361	-193039420853/500000000000	-0.386078841706	35580476579/250000000000	0.142321906316	-1170674890169231/10000000000000000	-0.1170674890169231	-9318261646067937/200000000000000000	-0.046591308230339685
2	25-34	OWNER	35-44	OWNER	ADJACENT_AGE_WITHIN_TENURE	CELL_B_MINUS_CELL_A	-289689200153/1000000000000	-0.289689200153	876483410009/1000000000000	0.876483410009	7034165433/1000000000000	0.007034165433	68708928910733/6250000000000000	0.01099342862571728	15983039860101279/1000000000000000000	0.015983039860101279
3	25-34	OWNER	35-44	RENTER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	-127224422187/200000000000	-0.636122110935	-205979874023/1000000000000	-0.205979874023	65800843677/500000000000	0.131601687354	-11993801058220121/100000000000000000	-0.11993801058220121	-26649183391669849/1000000000000000000	-0.026649183391669849
4	25-34	OWNER	45-54	OWNER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	36708085737/250000000000	0.146832342948	285309080199/200000000000	1.426545400995	-6735895819/250000000000	-0.026943583276	-316838436154947/20000000000000000	-0.01584192180774735	2765553035573437/200000000000000000	0.013827765177867185
5	25-34	OWNER	45-54	RENTER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	-80908108159/250000000000	-0.323632432636	-199910220677/500000000000	-0.399820441354	144713181223/1000000000000	0.144713181223	-16109952164200891/100000000000000000	-0.16109952164200891	-2295056520762547/125000000000000000	-0.018360452166100376
6	25-34	OWNER	55-64	OWNER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	450758024151/500000000000	0.901516048302	115926328251/62500000000	1.854821252016	-10372788181/100000000000	-0.10372788181	-878453418206947/5000000000000000	-0.1756906836413894	15743364414796249/1000000000000000000	0.015743364414796249
7	25-34	OWNER	55-64	RENTER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	129343603459/1000000000000	0.129343603459	313703514499/1000000000000	0.313703514499	1142878509/500000000000	0.002285757018	-35118746009895241/100000000000000000	-0.35118746009895241	-1610491597505437/125000000000000000	-0.012883932780043496
8	25-34	RENTER	35-44	OWNER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	17689246013/62500000000	0.283027936208	252512450343/200000000000	1.262562251715	-135287740883/1000000000000	-0.135287740883	6403045882132019/50000000000000000	0.12806091764264038	15643587022610241/250000000000000000	0.062574348090440964
9	25-34	RENTER	35-44	RENTER	ADJACENT_AGE_WITHIN_TENURE	CELL_B_MINUS_CELL_A	-31702487287/500000000000	-0.063404974574	180098967683/1000000000000	0.180098967683	-5360109481/500000000000	-0.010720218962	-287052156527811/100000000000000000	-0.00287052156527811	4985531209667459/250000000000000000	0.019942124838669836
10	25-34	RENTER	45-54	OWNER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	719549479309/1000000000000	0.719549479309	1812624242701/1000000000000	1.812624242701	-21158186199/125000000000	-0.169265489592	404902268836703/4000000000000000	0.10122556720917575	6041907340820687/100000000000000000	0.06041907340820687
11	25-34	RENTER	45-54	RENTER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	9963388149/40000000000	0.249084703725	-429424989/31250000000	-0.013741599648	2391274907/1000000000000	0.002391274907	-4403203262508581/100000000000000000	-0.04403203262508581	28230856064239309/1000000000000000000	0.028230856064239309
12	25-34	RENTER	55-64	OWNER	OTHER_PAIRWISE	CELL_B_MINUS_CELL_A	1474233184663/1000000000000	1.474233184663	1120450046861/500000000000	2.240900093722	-123024894063/500000000000	-0.246049788126	-586231946244663/10000000000000000	-0.0586231946244663	31167336322567967/500000000000000000	0.062334672645135934
