pair_index	cell_a_age_band	cell_a_tenure	cell_b_age_band	cell_b_tenure	pair_family	metric_id	squared_distance_numerator	squared_distance_denominator	squared_distance_exact	squared_distance_decimal	distance_sqrt_computed	outcome_gate
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	20527714491974123324842540871980369	40000000000000000000000000000000000	20527714491974123324842540871980369/40000000000000000000000000000000000	0.513192862299353083121063521799509225	0	NONE
1	25-34	OWNER	25-34	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	40420407104454569485027060871980369	80000000000000000000000000000000000	40420407104454569485027060871980369/80000000000000000000000000000000000	0.5052550888056821185628382608997546125	0	NONE
2	25-34	OWNER	35-44	OWNER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	852568793225746835116760766628034241	1000000000000000000000000000000000000	852568793225746835116760766628034241/1000000000000000000000000000000000000	0.852568793225746835116760766628034241	0	NONE
2	25-34	OWNER	35-44	OWNER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	1704761273415375343797739766628034241	2000000000000000000000000000000000000	1704761273415375343797739766628034241/2000000000000000000000000000000000000	0.8523806367076876718988698833140171205	0	NONE
3	25-34	OWNER	35-44	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	479493357995210421849584453541146901	1000000000000000000000000000000000000	479493357995210421849584453541146901/1000000000000000000000000000000000000	0.479493357995210421849584453541146901	0	NONE
3	25-34	OWNER	35-44	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	943891410632561782149654453541146901	2000000000000000000000000000000000000	943891410632561782149654453541146901/2000000000000000000000000000000000000	0.4719457053162808910748272267705734505	0	NONE
4	25-34	OWNER	45-54	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	82310385931668487863243970677273869	40000000000000000000000000000000000	82310385931668487863243970677273869/40000000000000000000000000000000000	2.057759648291712196581099266931846725	0	NONE
4	25-34	OWNER	45-54	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	164603084920281895031760170677273869	80000000000000000000000000000000000	164603084920281895031760170677273869/80000000000000000000000000000000000	2.0575385615035236878970021334659233625	0	NONE
5	25-34	OWNER	45-54	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	77956600918777757049057474856682369	250000000000000000000000000000000000	77956600918777757049057474856682369/250000000000000000000000000000000000	0.311826403675111028196229899426729476	0	NONE
5	25-34	OWNER	45-54	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	149340661318298574808442724856682369	500000000000000000000000000000000000	149340661318298574808442724856682369/500000000000000000000000000000000000	0.298681322636597149616885449713364738	0	NONE
6	25-34	OWNER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	4294967605582520955784599962616830001	1000000000000000000000000000000000000	4294967605582520955784599962616830001/1000000000000000000000000000000000000	4.294967605582520955784599962616830001	0	NONE
6	25-34	OWNER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	8558820141323566065808159962616830001	2000000000000000000000000000000000000	8558820141323566065808159962616830001/2000000000000000000000000000000000000	4.2794100706617830329040799813084150005	0	NONE
7	25-34	OWNER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	59660878826140661658208794774177529	250000000000000000000000000000000000	59660878826140661658208794774177529/250000000000000000000000000000000000	0.238643515304562646632835179096710116	0	NONE
7	25-34	OWNER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	88447100688622830717710294774177529	500000000000000000000000000000000000	88447100688622830717710294774177529/500000000000000000000000000000000000	0.176894201377245661435420589548355058	0	NONE
8	25-34	RENTER	35-44	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	53524567894670477573093252811743553	31250000000000000000000000000000000	53524567894670477573093252811743553/31250000000000000000000000000000000	1.712786172629455282338984089975793696	0	NONE
8	25-34	RENTER	35-44	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	106414287424765367806848815311743553	62500000000000000000000000000000000	106414287424765367806848815311743553/62500000000000000000000000000000000	1.702628598796245884909581044987896848	0	NONE
9	25-34	RENTER	35-44	RENTER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	9244170073235727087662345865359749	250000000000000000000000000000000000	9244170073235727087662345865359749/250000000000000000000000000000000000	0.036976680292942908350649383461438996	0	NONE
9	25-34	RENTER	35-44	RENTER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	18386858087186999394514595865359749	500000000000000000000000000000000000	18386858087186999394514595865359749/500000000000000000000000000000000000	0.036773716174373998789029191730719498	0	NONE
10	25-34	RENTER	45-54	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	19229529921281859392888984315516297	5000000000000000000000000000000000	19229529921281859392888984315516297/5000000000000000000000000000000000	3.8459059842563718785777968631032594	0	NONE
10	25-34	RENTER	45-54	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	38389574443122090548985714315516297	10000000000000000000000000000000000	38389574443122090548985714315516297/10000000000000000000000000000000000	3.8389574443122090548985714315516297	0	NONE
11	25-34	RENTER	45-54	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	64973540517554208994205806684153581	1000000000000000000000000000000000000	64973540517554208994205806684153581/1000000000000000000000000000000000000	0.064973540517554208994205806684153581	0	NONE
11	25-34	RENTER	45-54	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	127211279903891999452383806684153581	2000000000000000000000000000000000000	127211279903891999452383806684153581/2000000000000000000000000000000000000	0.0636056399519459997261919033420767905	0	NONE
12	25-34	RENTER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	1815714875350870811355054807293435589	250000000000000000000000000000000000	1815714875350870811355054807293435589/250000000000000000000000000000000000	7.262859501403483245420219229173742356	0	NONE
12	25-34	RENTER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	3629599178111303044562237057293435589	500000000000000000000000000000000000	3629599178111303044562237057293435589/500000000000000000000000000000000000	7.259198356222606089124474114586871178	0	NONE
13	25-34	RENTER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	1058143099581836452100812235526999821	1000000000000000000000000000000000000	1058143099581836452100812235526999821/1000000000000000000000000000000000000	1.058143099581836452100812235526999821	0	NONE
13	25-34	RENTER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	2060337851144475433628041235526999821	2000000000000000000000000000000000000	2060337851144475433628041235526999821/2000000000000000000000000000000000000	1.0301689255722377168140206177634999105	0	NONE
14	35-44	OWNER	35-44	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	331555034675054000898484276844568121	250000000000000000000000000000000000	331555034675054000898484276844568121/250000000000000000000000000000000000	1.326220138700216003593937107378272484	0	NONE
14	35-44	OWNER	35-44	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	658369932291996574288181526844568121	500000000000000000000000000000000000	658369932291996574288181526844568121/500000000000000000000000000000000000	1.316739864583993148576363053689136242	0	NONE
15	35-44	OWNER	45-54	OWNER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	61874815020991903336897182059629717	125000000000000000000000000000000000	61874815020991903336897182059629717/125000000000000000000000000000000000	0.494998520167935226695177456477037736	0	NONE
15	35-44	OWNER	45-54	OWNER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	123659032386753465476281932059629717	250000000000000000000000000000000000	123659032386753465476281932059629717/250000000000000000000000000000000000	0.494636129547013861905127728238518868	0	NONE
16	35-44	OWNER	45-54	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	13438837075205829672128010876293241	8000000000000000000000000000000000	13438837075205829672128010876293241/8000000000000000000000000000000000	1.679854634400728709016001359536655125	0	NONE
16	35-44	OWNER	45-54	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	26631310478600428493145274876293241	16000000000000000000000000000000000	26631310478600428493145274876293241/16000000000000000000000000000000000	1.6644569049125267808215796797683275625	0	NONE
17	35-44	OWNER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	24232341233763893105420323682439233	10000000000000000000000000000000000	24232341233763893105420323682439233/10000000000000000000000000000000000	2.4232341233763893105420323682439233	0	NONE
17	35-44	OWNER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	48116172315355018481181553682439233	20000000000000000000000000000000000	48116172315355018481181553682439233/20000000000000000000000000000000000	2.40580861576775092405907768412196165	0	NONE
18	35-44	OWNER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	24973621877698142256292501302579869	40000000000000000000000000000000000	24973621877698142256292501302579869/40000000000000000000000000000000000	0.624340546942453556407312532564496725	0	NONE
18	35-44	OWNER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	44666911824724347105047261302579869	80000000000000000000000000000000000	44666911824724347105047261302579869/80000000000000000000000000000000000	0.5583363978090543388130907662822483625	0	NONE
19	35-44	RENTER	45-54	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	828941858082650793585662009591604189	250000000000000000000000000000000000	828941858082650793585662009591604189/250000000000000000000000000000000000	3.315767432330603174342648038366416756	0	NONE
19	35-44	RENTER	45-54	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	1654765121399391605904390259591604189	500000000000000000000000000000000000	1654765121399391605904390259591604189/500000000000000000000000000000000000	3.309530242798783211808780519183208378	0	NONE
20	35-44	RENTER	45-54	RENTER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	137158848916149682610468474128787729	1000000000000000000000000000000000000	137158848916149682610468474128787729/1000000000000000000000000000000000000	0.137158848916149682610468474128787729	0	NONE
20	35-44	RENTER	45-54	RENTER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	272554724774242963196591474128787729	2000000000000000000000000000000000000	272554724774242963196591474128787729/2000000000000000000000000000000000000	0.1362773623871214815982957370643938645	0	NONE
21	35-44	RENTER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	833939735576380279262035470132352713	125000000000000000000000000000000000	833939735576380279262035470132352713/125000000000000000000000000000000000	6.671517884611042234096283761058821704	0	NONE
21	35-44	RENTER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	1667266285069914528250858720132352713	250000000000000000000000000000000000	1667266285069914528250858720132352713/250000000000000000000000000000000000	6.669065140279658113003434880529410852	0	NONE
22	35-44	RENTER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	926396984083291326697178698385520609	1000000000000000000000000000000000000	926396984083291326697178698385520609/1000000000000000000000000000000000000	0.926396984083291326697178698385520609	0	NONE
22	35-44	RENTER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	1799128178140381311901794698385520609	2000000000000000000000000000000000000	1799128178140381311901794698385520609/2000000000000000000000000000000000000	0.8995640890701906559508973491927603045	0	NONE
23	45-54	OWNER	45-54	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	3608551191608133909190210387513922321	1000000000000000000000000000000000000	3608551191608133909190210387513922321/1000000000000000000000000000000000000	3.608551191608133909190210387513922321	0	NONE
23	45-54	OWNER	45-54	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	7194966531570874860290068387513922321	2000000000000000000000000000000000000	7194966531570874860290068387513922321/2000000000000000000000000000000000000	3.5974832657854374301450341937569611605	0	NONE
