decision	value
STATE_POINT_COUNT	8
NUMERICAL_COORDINATE_COUNT	5
NUMERICALLY_REPRESENTED_CONCEPT_COUNT	4
PAIRWISE_DIFFERENCE_VECTOR_ROW_COUNT	28
PAIRWISE_SQUARED_DISTANCE_ROW_COUNT	56
DISTANCE_COORDINATE_CONTRIBUTION_ROW_COUNT	280
OWNER_RENTER_WITHIN_AGE_PAIR_COUNT	4
ADJACENT_AGE_WITHIN_TENURE_PAIR_COUNT	6
EXACT_RATIONAL_ARITHMETIC_USED	1
BINARY_FLOAT_ROUNDTRIP_USED	0
DISTANCE_SQRT_COMPUTED	0
DISTANCE_SORTING_OR_RANKING_PERFORMED	0
SOURCE_STANDARD_ERRORS_USED_IN_POINT_GEOMETRY	0
M1_REPORTED	1
M2_REPORTED	1
BEST_LOOKING_METRIC_SELECTION_PERFORMED	0
ABSOLUTE_ORIGIN_INTERPRETATION_USED	0
INFERENTIAL_GEOMETRY_COMPUTED	0
PAIRWISE_DISTANCE_SE_COMPUTED	0
PAIRWISE_DISTANCE_CI_COMPUTED	0
DIMENSIONALITY_TEST_COMPUTED	0
PCA_COMPUTED	0
AFFINE_RANK_COMPUTED	0
C_INCLUDED	0
H_ACCESS_PROMOTED_TO_FULL_H_STATE	0
I_SCALAR_CREATED	0
PARTIAL_PANEL_IS_FULL_CHKDI_STATE_VECTOR	0
DESCRIPTIVE_GEOMETRY_IS_REAL_INFLATION_ESTIMATE	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
E4C9A_PARTIAL_STATE_DESCRIPTIVE_GEOMETRY_EXECUTION	PASS
E4C9B_PARTIAL_STATE_DESCRIPTIVE_GEOMETRY_CLOSEOUT_PREFLIGHT_AUTHORIZED	1
