decision	value
E4C9A_REUSED_AS_CANONICAL_DESCRIPTIVE_GEOMETRY_EXECUTION	1
E4C9A_NUMERIC_ROWS_OPENED_BY_E4C9B	0
DESCRIPTIVE_2022_PARTIAL_GEOMETRY_COMPLETE	1
STATE_POINT_COUNT	8
PAIRWISE_DIFFERENCE_VECTOR_ROW_COUNT	28
DUAL_METRIC_SQUARED_DISTANCE_ROW_COUNT	56
COORDINATE_CONTRIBUTION_ROW_COUNT	280
BOTH_E4C7_METRICS_MANDATORY_IN_REPORTING	1
ALL_28_PAIR_LEDGER_MUST_REMAIN_AVAILABLE	1
PRECOMMITTED_NAMED_SUBSETS_AUTHORIZED_FOR_DESCRIPTION	1
POST_HOC_DISTANCE_RANKING_AS_PRIMARY_CLAIM_AUTHORIZED	0
LARGEST_SMALLEST_PAIR_CONFIRMATORY_SELECTION_AUTHORIZED	0
COORDINATE_CONTRIBUTION_CAUSAL_ATTRIBUTION_AUTHORIZED	0
DISTANCE_AS_WELFARE_LOSS_AUTHORIZED	0
DISTANCE_AS_INFLATION_RATE_AUTHORIZED	0
CROSS_SECTIONAL_2022_GEOMETRY_IS_TIME_CHANGE	0
OWNER_RENTER_DISTANCE_IS_INFLATION_GAP	0
INFERENTIAL_GEOMETRY_AUTHORIZED	0
PAIRWISE_DISTANCE_STANDARD_ERROR_AUTHORIZED	0
PAIRWISE_DISTANCE_CONFIDENCE_INTERVAL_AUTHORIZED	0
DIMENSIONALITY_TEST_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
NEXT_PRIMARY_PHASE_ID	E4D0
E4D0_MULTIYEAR_PARTIAL_STATE_COMPARABILITY_RECONNAISSANCE_AUTHORIZED	1
E4C9B_PARTIAL_STATE_DESCRIPTIVE_GEOMETRY_CLOSEOUT_PREFLIGHT	PASS
