decision	value
E4D1D3_ACS_R0_FIRST_2019_H_ACCESS_EMPIRICAL_EXECUTION	PASS
ACS_CANONICAL_ADAPTER_SHA256	8155f51370c1ba23657f803dd16901f657d74e5755cc273de1290c5ab1cca45d
ACS_H_2019_MICRODATA_ROWS_OPENED	1
ACS_H_2019_COORDINATE_VALUES_OPENED	1
ACS_H_2019_EMPIRICALLY_TESTED	1
OUTCOME_BASED_GATE	0
SCIENTIFIC_METHOD_MUTATED	0
NEXT_PRIMARY_PHASE_ID	E4D1D3_CPSB
E4D1D3_CPSB_2019_FULL_WEIGHT_BRIDGE_EXECUTION_PRECOMMIT_AUTHORIZED	1
CPS_WEIGHT_BRIDGE_VALUE_OPEN_AUTHORIZED	0
CPS_I_VALUE_OPEN_AUTHORIZED	0
SCF_K_VALUE_OPEN_AUTHORIZED	0
SCF_D_VALUE_OPEN_AUTHORIZED	0
E4D1D_2019_COORDINATE_VALUES_OPEN_AUTHORIZED	0
TEMPORAL_GEOMETRY_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
