decision	value
E4D1D3_CPSB_R0_FIRST_2019_FULL_WEIGHT_BRIDGE_EXECUTION	PASS
CPSB_RUNTIME_AUDIT_PATH	data/metadata/E4D1D_2019_runtime/CPS_ASEC/E4A2B_cps_full_weight_bridge_audit.txt
CPSB_RUNTIME_AUDIT_SHA256	1434529f38aa100f3cb85ae2e13385a135415bcc0dd2a489ffe476916b1a76b2
CPSB_RUNTIME_SUMMARY_PATH	data/metadata/E4D1D_2019_runtime/CPS_ASEC/E4A2B_cps_full_weight_bridge_summary.tsv
CPSB_RUNTIME_SUMMARY_SHA256	e437c9246b48dcc7f6e1f1c465720281701f5415ecef085f185e6233122a6cc4
PREFROZEN_POST_EXECUTION_VALIDATOR	PASS
FAILED_WRAPPER_ATTEMPT_PRESERVED	1
WRAPPER_FAILURE_CLASS	POST_VALIDATOR_LITERAL_ASSERTION_STALE
EMPIRICAL_BRIDGE_FAILURE	0
SCIENTIFIC_GATE_FAILURE	0
CPS_WEIGHT_BRIDGE_VALUES_OPENED	1
CPS_PWWGT1_160_VALUES_OPENED	0
CPS_I_VALUES_OPENED	0
SCF_K_D_VALUES_OPENED	0
EXECUTOR_RERUN_DURING_F1_REPAIR	0
RAW_CPS_DATA_REOPENED_DURING_F1_REPAIR	0
NEW_WEIGHT_VALUES_PARSED_DURING_F1_REPAIR	0
CPSP_EXECUTED_DURING_F1_REPAIR	0
OUTCOME_BASED_GATE	0
SCIENTIFIC_METHOD_MUTATED	0
NEXT_PRIMARY_PHASE_ID	E4D1D3_CPSP
E4D1D3_CPSP_EXACT_BRIDGE_SHA_INPUT_FREEZE_PRECOMMIT_AUTHORIZED	1
CPSP_EXECUTION_AUTHORIZED	0
CPS_I_VALUE_OPEN_AUTHORIZED	0
SCF_K_VALUE_OPEN_AUTHORIZED	0
SCF_D_VALUE_OPEN_AUTHORIZED	0
E4D1D_2019_COORDINATE_VALUES_OPEN_AUTHORIZED	0
TEMPORAL_GEOMETRY_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
