decision	value
E4D1D3_CPSI_R0_INTERNAL_YEAR_LABEL_REPAIR	PASS
PATCH_CLASS	PROVENANCE_LABEL_ONLY
PARENT_CPS_I_ADAPTER_SHA256	556b5ae5076b319f45b1bd2261c34193833b1eb45916183c7adae1615c09a7ca
OUTPUT_CPS_I_ADAPTER_SHA256	76acc152a2e122570cab00ac03110763d8e55d8ae8134e65c7206986cecb81d7
YEAR_LABEL_2022_TO_2019_PATCH_COUNT	5
YEAR_LABEL_PATCH_LINES	1280|1347|1372|1471|1500
CHANGED_LINE_COUNT	5
CHANGED_CHARACTER_COUNT	10
POST_REPAIR_INTERNAL_YEAR_2019_COUNT	5
POST_REPAIR_INTERNAL_YEAR_2022_COUNT	0
LEGACY_2022_OUTPUT_BASENAMES_MUTATED	0
SCIENTIFIC_FUNCTIONS_MUTATED	0
CPS_I_ADAPTER_EXECUTED	0
CPS_PWWGT1_160_VALUES_OPENED	0
CPS_I_VALUES_OPENED	0
SCF_K_D_VALUES_OPENED	0
OUTCOME_BASED_GATE	0
SCIENTIFIC_METHOD_MUTATED	0
NEXT_PRIMARY_PHASE_ID	E4D1D3_CPSI_P0
E4D1D3_CPSI_2019_I_EXECUTION_PRECOMMIT_AUTHORIZED	1
CPS_I_VALUE_OPEN_AUTHORIZED	0
SCF_K_VALUE_OPEN_AUTHORIZED	0
SCF_D_VALUE_OPEN_AUTHORIZED	0
E4D1D_2019_COORDINATE_VALUES_OPEN_AUTHORIZED	0
TEMPORAL_GEOMETRY_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
