decision	value
E4D1D3_CPSI_R1_P0_REPLICATE_ZIP_CASE_REPAIR_PRECOMMIT	PASS
PATCH_CLASS	PATH_CASE_ONLY
PARENT_CPS_I_ADAPTER_SHA256	76acc152a2e122570cab00ac03110763d8e55d8ae8134e65c7206986cecb81d7
A2_FINAL_SHA256	df00b50b56fbe0ba4f3a31b2cd9d1d2b67f2a6a62015f841bdc0c99f4496c424
CASE_REPAIR_PATCHER_SHA256	b65d21772cf38290b754441d7795433025a1e888abacbf61add96706be0140ef
EXPECTED_OUTPUT_CPS_I_ADAPTER_SHA256	51e08a8cfdf48ad3b98feacacd4ba861eb55611d700f353e8765a72eebd85094
CPS_REP_PATH_PATCH_COUNT	1
CHANGED_LINE_COUNT	1
CHANGED_LINES	86
CHANGED_CHARACTER_COUNT	3
ARCHIVE_SHA_BINDING_MUTATED	0
SCIENTIFIC_FUNCTIONS_MUTATED	0
REPAIR_PATCHER_EXECUTED_DURING_PRECOMMIT	0
NEXT_PRIMARY_PHASE_ID	E4D1D3_CPSI_R1
E4D1D3_CPSI_R1_PATH_CASE_REPAIR_EXECUTION_AUTHORIZED	1
CPS_I_VALUE_OPEN_AUTHORIZED	0
SCF_K_VALUE_OPEN_AUTHORIZED	0
SCF_D_VALUE_OPEN_AUTHORIZED	0
E4D1D_2019_COORDINATE_VALUES_OPEN_AUTHORIZED	0
TEMPORAL_GEOMETRY_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
OUTCOME_BASED_GATE	0
SCIENTIFIC_METHOD_MUTATED	0
