decision	value
E4D1D3_CPSP_R0_DETERMINISTIC_PREDECESSOR_SHA_PATCH	PASS
FAILED_WRAPPER_ATTEMPT_PRESERVED	1
WRAPPER_FAILURE_CLASS	OVERBROAD_STATIC_TOKEN_ASSERTION
F1_REPAIR_PRECOMMIT_HEAD	0647b411a24aa12c05910a4cbd3134a410611b9e
PATCH_CLASS	PROVENANCE_EXPECTED_SHA_ONLY
PARENT_CPS_ADAPTER_SHA256	c8c864cf0cbccdb5508d0216c53c771bf07a99936e7810077e65f62725e3f94d
OLD_E4A2B_AUDIT_EXPECTED_SHA256	962b727559808c389afac33060a4562bead5099be6000b951af796a1ac37be2e
NEW_2019_EMPIRICAL_E4A2B_AUDIT_SHA256	1434529f38aa100f3cb85ae2e13385a135415bcc0dd2a489ffe476916b1a76b2
OUTPUT_CPS_I_ADAPTER_SHA256	556b5ae5076b319f45b1bd2261c34193833b1eb45916183c7adae1615c09a7ca
E4A2B_AUDIT_EXPECTED_SHA_PATCH_COUNT	1
E4A2B_SUMMARY_BINDING_MUTATED	0
SCIENTIFIC_FUNCTIONS_MUTATED	0
CPS_WEIGHT_VALUES_REOPENED	0
CPS_I_VALUES_OPENED	0
SCF_K_D_VALUES_OPENED	0
CPS_ADAPTER_EXECUTED	0
OUTCOME_BASED_GATE	0
SCIENTIFIC_METHOD_MUTATED	0
NEXT_PRIMARY_PHASE_ID	E4D1D3_CPSI
E4D1D3_CPSI_2019_I_EXECUTION_PRECOMMIT_AUTHORIZED	1
CPS_I_VALUE_OPEN_AUTHORIZED	0
SCF_K_VALUE_OPEN_AUTHORIZED	0
SCF_D_VALUE_OPEN_AUTHORIZED	0
E4D1D_2019_COORDINATE_VALUES_OPEN_AUTHORIZED	0
TEMPORAL_GEOMETRY_AUTHORIZED	0
REAL_INFLATION_ESTIMATION_AUTHORIZED	0
FINAL_SCALAR_AUTHORIZED	0
